LGA_2006_Code,LGA_2006_Name,POA_2006_Code,POA_2006_Name,Ratio,Percent
10050,Albury (C),2640,2640,1,100
10050,Albury (C),2641,2641,1,100
10050,Albury (C),2642,2642,0.139574,13.9574
10110,Armidale Dumaresq (A),2350,2350,0.948009,94.8009
10150,Ashfield (A),2045,2045,1,100
10150,Ashfield (A),2130,2130,1,100
10150,Ashfield (A),2131,2131,1,100
10150,Ashfield (A),2132,2132,0.42284,42.284
10150,Ashfield (A),2133,2133,0.0838592,8.38592
10150,Ashfield (A),2193,2193,0.0429783,4.29783
10200,Auburn (A),2127,2127,1,100
10200,Auburn (A),2128,2128,1,100
10200,Auburn (A),2140,2140,0.115429,11.5429
10200,Auburn (A),2141,2141,1,100
10200,Auburn (A),2143,2143,0.567279,56.7279
10200,Auburn (A),2144,2144,1,100
10250,Ballina (A),2477,2477,1,100
10250,Ballina (A),2478,2478,1,100
10250,Ballina (A),2479,2479,0.349126,34.9126
10300,Balranald (A),2711,2711,0.042973,4.2973
10300,Balranald (A),2715,2715,1,100
10300,Balranald (A),2734,2734,1,100
10300,Balranald (A),2737,2737,1,100
10350,Bankstown (C),2143,2143,0.432721,43.2721
10350,Bankstown (C),2161,2161,0.0192594,1.92594
10350,Bankstown (C),2162,2162,0.952295,95.2295
10350,Bankstown (C),2163,2163,0.440607,44.0607
10350,Bankstown (C),2190,2190,0.921535,92.1535
10350,Bankstown (C),2196,2196,0.25081,25.081
10350,Bankstown (C),2197,2197,1,100
10350,Bankstown (C),2198,2198,1,100
10350,Bankstown (C),2199,2199,1,100
10350,Bankstown (C),2200,2200,1,100
10350,Bankstown (C),2211,2211,1,100
10350,Bankstown (C),2212,2212,1,100
10350,Bankstown (C),2213,2213,1,100
10350,Bankstown (C),2214,2214,1,100
10470,Bathurst Regional (A),2583,2583,0.0294118,2.94118
10470,Bathurst Regional (A),2795,2795,0.959346,95.9346
10500,Baulkham Hills (A),2117,2117,0.204114,20.4114
10500,Baulkham Hills (A),2118,2118,0.603863,60.3863
10500,Baulkham Hills (A),2125,2125,0.792628,79.2628
10500,Baulkham Hills (A),2151,2151,0.457285,45.7285
10500,Baulkham Hills (A),2152,2152,0.487577,48.7577
10500,Baulkham Hills (A),2153,2153,0.785919,78.5919
10500,Baulkham Hills (A),2154,2154,0.840477,84.0477
10500,Baulkham Hills (A),2155,2155,0.873495,87.3495
10500,Baulkham Hills (A),2156,2156,1,100
10500,Baulkham Hills (A),2157,2157,0.583491,58.3491
10500,Baulkham Hills (A),2158,2158,0.319356,31.9356
10500,Baulkham Hills (A),2756,2756,0.062439,6.2439
10500,Baulkham Hills (A),2765,2765,0.133062,13.3062
10550,Bega Valley (A),2546,2546,0.216031,21.6031
10550,Bega Valley (A),2548,2548,1,100
10550,Bega Valley (A),2549,2549,1,100
10550,Bega Valley (A),2550,2550,1,100
10550,Bega Valley (A),2551,2551,0.999999,99.9999
10600,Bellingen (A),2453,2453,0.871824,87.1824
10600,Bellingen (A),2454,2454,1,99.9999
10600,Bellingen (A),2455,2455,1,100
