suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
abbotsford,3067,VIC,FITZROY DC,Delivery Area,-37.801781,144.998752,15.0,1.0,20.0
aberfeldie,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.75669,144.896259,1.0,0.0,16.0
airport west,3042,VIC,NIDDRIE DC,Delivery Area,-37.711698,144.88703700000005,4.0,0.0,4.0
albanvale,3021,VIC,ST ALBANS DC,Delivery Area,-37.74593400000001,144.770027,2.0,0.0,9.0
albert park,3206,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.840705,144.95571,14.0,1.0,20.0
albion,3020,VIC,SUNSHINE DC,Delivery Area,-37.775954,144.819395,2.0,0.0,9.0
alphington,3078,VIC,PRESTON DC,Delivery Area,-37.780767,145.03116,3.0,0.0,15.0
altona,3018,VIC,NEWPORT DC,Delivery Area,-37.869275,144.830286,5.0,0.0,8.0
altona meadows,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.871632,144.778084,1.0,0.0,13.0
altona north,3025,VIC,NEWPORT DC,Delivery Area,-37.842879,144.850049,4.0,0.0,11.0
ardeer,3022,VIC,SUNSHINE DC,Delivery Area,-37.78292,144.801018,1.0,0.0,9.0
armadale,3143,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.85934,145.018505,9.0,0.0,8.0
ascot vale,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.77583,144.923377,14.0,0.0,5.0
ashburton,3147,VIC,BURWOOD DC,Delivery Area,-37.863393,145.07942,1.0,1.0,15.0
ashwood,3147,VIC,BURWOOD DC,Delivery Area,-37.864686,145.093061,2.0,0.0,15.0
aspendale,3195,VIC,BRAESIDE DC,Delivery Area,-38.026479,145.101908,1.0,0.0,7.0
aspendale gardens,3195,VIC,BRAESIDE DC,Delivery Area,-38.023456,145.118374,1.0,0.0,13.0
attwood,3049,VIC,SOMERTON DC,Delivery Area,-37.667515,144.88529,0.0,0.0,6.0
avondale heights,3034,VIC,NIDDRIE DC,Delivery Area,-37.74228400000001,144.81515,5.0,0.0,12.0
balaclava,3183,VIC,ST KILDA DC,Delivery Area,-37.869023,144.995478,17.0,1.0,20.0
balwyn,3103,VIC,DEEPDENE DC,Delivery Area,-37.809701,145.082303,3.0,0.0,13.0
balwyn north,3104,VIC,DEEPDENE DC,Delivery Area,-37.792835,145.071727,2.0,0.0,9.0
bangholme,3175,VIC,DANDENONG DC,Delivery Area,-38.033107,145.179482,0.0,0.0,2.0
bayswater,3153,VIC,BAYSWATER DC,Delivery Area,-37.84126,145.266725,5.0,0.0,12.0
bayswater north,3153,VIC,BAYSWATER DC,Delivery Area,-37.8303,145.275095,1.0,0.0,5.0
beaumaris,3193,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.986285,145.032876,1.0,0.0,15.0
belgrave,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.908422,145.355075,3.0,1.0,13.0
belgrave heights,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.926012,145.352597,2.0,0.0,11.0
bellfield,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.751819,145.045449,3.0,0.0,9.0
bellfield,3381,VIC,STAWELL,Delivery Area,-37.228577,142.480053,0.0,0.0,0.0
bentleigh,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.918057,145.03544399999996,5.0,0.0,14.0
bentleigh east,3165,VIC,BENTLEIGH EAST DC,Delivery Area,-37.927402,145.059412,2.0,0.0,7.0
berwick,3806,VIC,NARRE WARREN DC,Delivery Area,-38.030467,145.344621,4.0,0.0,20.0
black rock,3193,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.973503,145.01658,3.0,0.0,5.0
blackburn,3130,VIC,NUNAWADING DC,Delivery Area,-37.819374,145.153852,5.0,0.0,20.0
blackburn north,3130,VIC,NUNAWADING DC,Delivery Area,-37.810403,145.1521,2.0,0.0,13.0
blackburn south,3130,VIC,NUNAWADING DC,Delivery Area,-37.831666,145.146719,2.0,0.0,19.0
bonbeach,3196,VIC,BRAESIDE DC,Delivery Area,-38.062472,145.119404,0.0,0.0,6.0
boronia,3155,VIC,BAYSWATER DC,Delivery Area,-37.861504,145.275762,5.0,1.0,16.0
box hill,3128,VIC,BOX HILL DC,Delivery Area,-37.817455,145.119314,4.0,1.0,20.0
box hill north,3129,VIC,BOX HILL DC,Delivery Area,-37.801761,145.126869,3.0,0.0,20.0
box hill south,3128,VIC,BOX HILL DC,Delivery Area,-37.828744,145.12184299999996,2.0,0.0,11.0
briar hill,3088,VIC,BUNDOORA DC,Delivery Area,-37.709483,145.120135,4.0,0.0,13.0
