lga_name,postcode,suburb,crime_id,crime_name,average_incident
Banyule,3079,ivanhoe,A20,Assault and related offences,43.6
Banyule,3079,ivanhoe,A50,Robbery,3.0
Banyule,3079,ivanhoe,A70,"Stalking, harassment and threatening behaviour",8.1
Banyule,3079,ivanhoe,A80,Dangerous and negligent acts endangering people,3.333333333333333
Banyule,3079,ivanhoe,B10,Arson,3.4
Banyule,3079,ivanhoe,B50,Deception,22.0
Banyule,3079,ivanhoe,C10,Drug dealing and trafficking,2.5
Banyule,3079,ivanhoe,C20,Cultivate or manufacture drugs,2.0
Banyule,3079,ivanhoe,C30,Drug use and possession,8.9
Banyule,3079,ivanhoe,D10,Weapons and explosives offences,5.8
Banyule,3079,ivanhoe,D20,Disorderly and offensive conduct,9.9
Banyule,3079,ivanhoe,D30,Public nuisance offences,2.9
Banyule,3079,ivanhoe,D40,Public security offences,1.0
Banyule,3079,ivanhoe,E10,Justice procedures,3.4
Banyule,3079,ivanhoe,E20,Breaches of orders,30.6
Banyule,3079,ivanhoe,F20,Transport regulation offences,1.0
Banyule,3079,ivanhoe,F30,Other government regulatory offences,1.5
Banyule,3079,ivanhoe,F90,Miscellaneous offences,3.333333333333333
Banyule,3079,ivanhoe,Other,crimes against the person,10.9
Banyule,3079,ivanhoe east,A20,Assault and related offences,4.6
Banyule,3079,ivanhoe east,A50,Robbery,1.0
Banyule,3079,ivanhoe east,A70,"Stalking, harassment and threatening behaviour",2.4
Banyule,3079,ivanhoe east,A80,Dangerous and negligent acts endangering people,1.4
Banyule,3079,ivanhoe east,B10,Arson,1.5
Banyule,3079,ivanhoe east,B20,Property damage,9.0
Banyule,3079,ivanhoe east,B30,Burglary/Break and enter,22.7
Banyule,3079,ivanhoe east,B50,Deception,1.9
Banyule,3079,ivanhoe east,C10,Drug dealing and trafficking,1.5
Banyule,3079,ivanhoe east,C30,Drug use and possession,1.75
Banyule,3079,ivanhoe east,D10,Weapons and explosives offences,1.0
Banyule,3079,ivanhoe east,D20,Disorderly and offensive conduct,1.0
Banyule,3079,ivanhoe east,D30,Public nuisance offences,1.0
Banyule,3079,ivanhoe east,E10,Justice procedures,1.3333333333333333
Banyule,3079,ivanhoe east,E20,Breaches of orders,4.777777777777779
Banyule,3079,ivanhoe east,Other,crimes against the person,2.0
Banyule,3081,bellfield,A20,Assault and related offences,25.4
Banyule,3081,bellfield,A50,Robbery,2.0
Banyule,3081,bellfield,A70,"Stalking, harassment and threatening behaviour",6.222222222222222
Banyule,3081,bellfield,A80,Dangerous and negligent acts endangering people,4.0
Banyule,3081,bellfield,B10,Arson,5.5
Banyule,3081,bellfield,B20,Property damage,35.0
Banyule,3081,bellfield,B50,Deception,4.5
Banyule,3081,bellfield,C10,Drug dealing and trafficking,2.8571428571428568
Banyule,3081,bellfield,C20,Cultivate or manufacture drugs,2.333333333333333
Banyule,3081,bellfield,C30,Drug use and possession,6.8888888888888875
Banyule,3081,bellfield,C90,Other drug offences,2.0
Banyule,3081,bellfield,D10,Weapons and explosives offences,4.75
Banyule,3081,bellfield,D20,Disorderly and offensive conduct,4.4444444444444455
Banyule,3081,bellfield,D30,Public nuisance offences,3.333333333333333
Banyule,3081,bellfield,E10,Justice procedures,2.8571428571428568
Banyule,3081,bellfield,E20,Breaches of orders,20.222222222222214
Banyule,3081,bellfield,F90,Miscellaneous offences,28.0
Banyule,3081,bellfield,Other,crimes against the person,4.75
Banyule,3081,heidelberg heights,A50,Robbery,2.8
Banyule,3081,heidelberg heights,A70,"Stalking, harassment and threatening behaviour",8.7
Banyule,3081,heidelberg heights,A80,Dangerous and negligent acts endangering people,3.7
Banyule,3081,heidelberg heights,B10,Arson,2.8
Banyule,3081,heidelberg heights,B20,Property damage,47.7
Banyule,3081,heidelberg heights,B50,Deception,14.5
Banyule,3081,heidelberg heights,C10,Drug dealing and trafficking,2.6
Banyule,3081,heidelberg heights,C20,Cultivate or manufacture drugs,1.7777777777777777
Banyule,3081,heidelberg heights,C30,Drug use and possession,13.1
Banyule,3081,heidelberg heights,D10,Weapons and explosives offences,10.3
Banyule,3081,heidelberg heights,D20,Disorderly and offensive conduct,5.5
Banyule,3081,heidelberg heights,D30,Public nuisance offences,2.0
Banyule,3081,heidelberg heights,E10,Justice procedures,7.2
Banyule,3081,heidelberg heights,E20,Breaches of orders,41.1
Banyule,3081,heidelberg heights,F10,Regulatory driving offences,1.0
Banyule,3081,heidelberg heights,F30,Other government regulatory offences,1.0
Banyule,3081,heidelberg heights,F90,Miscellaneous offences,11.4
Banyule,3081,heidelberg heights,Other,crimes against the person,6.5
Banyule,3081,heidelberg west,A50,Robbery,7.4
Banyule,3081,heidelberg west,A70,"Stalking, harassment and threatening behaviour",14.9
Banyule,3081,heidelberg west,A80,Dangerous and negligent acts endangering people,8.5
Banyule,3081,heidelberg west,B10,Arson,11.3
Banyule,3081,heidelberg west,B50,Deception,28.5
Banyule,3081,heidelberg west,C10,Drug dealing and trafficking,8.7
Banyule,3081,heidelberg west,C20,Cultivate or manufacture drugs,3.7
Banyule,3081,heidelberg west,C30,Drug use and possession,36.1
Banyule,3081,heidelberg west,D10,Weapons and explosives offences,27.2
Banyule,3081,heidelberg west,D20,Disorderly and offensive conduct,12.0
Banyule,3081,heidelberg west,D30,Public nuisance offences,3.8
Banyule,3081,heidelberg west,D40,Public security offences,1.0
Banyule,3081,heidelberg west,E10,Justice procedures,10.2
Banyule,3081,heidelberg west,F20,Transport regulation offences,1.5
Banyule,3081,heidelberg west,F30,Other government regulatory offences,1.0
Banyule,3081,heidelberg west,F90,Miscellaneous offences,21.6
Banyule,3081,heidelberg west,Other,crimes against the person,12.6
Banyule,3083,bundoora,A20,Assault and related offences,36.4
Banyule,3083,bundoora,A50,Robbery,2.5
Banyule,3083,bundoora,A70,"Stalking, harassment and threatening behaviour",10.9
Banyule,3083,bundoora,A80,Dangerous and negligent acts endangering people,4.8
Banyule,3083,bundoora,B10,Arson,4.5555555555555545
Banyule,3083,bundoora,B20,Property damage,36.9
Banyule,3083,bundoora,B50,Deception,33.0
Banyule,3083,bundoora,C10,Drug dealing and trafficking,4.0
