suburb,Mean crime rates per quarter,median,Variance crime rates per quarter,Standard Deviation crime rates per quarter,SEM  crime rates per quarter
sherbrooke,1.5051587301587304,1.0833333333333335,0.579164948807806,0.7610288751471957,0.2196901129636558
clematis,1.5916666666666666,1.6,0.34312499999999996,0.5857687256929991,0.1624630135422545
the patch,1.929340277777778,1.6666666666666667,0.8967705439814815,0.9469796956542846,0.23674492391357116
sassafras,2.0439594356261024,1.4642857142857144,2.9368294828219352,1.713718028971492,0.40392721310912877
selby,2.134649122807018,1.25,3.1436440058479533,1.773032432260604,0.4067615366233735
north warrandyte,2.182638888888889,1.4166666666666665,4.473151748971193,2.114982682901019,0.5287456707252548
junction village,2.2842261904761902,1.775,4.056223639455782,2.014006861819438,0.5035017154548596
belgrave heights,2.3931704260651627,1.3333333333333333,4.865610400376309,2.2058128661281104,0.5060481774639076
strathmore heights,2.3965079365079367,1.3333333333333335,9.404859131956876,3.066734278015765,0.6857426314571989
langwarrin south,2.463095238095238,1.7083333333333335,4.832549853274641,2.198306132747357,0.5181457245298771
