suburb,Mean crime rates per quarter,median,Variance crime rates per quarter,Standard Deviation crime rates per quarter,SEM  crime rates per quarter
reservoir,22.441203703703707,25.3,291.0705749625888,17.060790572613826,4.925026014843211
preston,21.787074829931974,20.799999999999997,316.6995732725324,17.796054991838286,4.7561957582605
cranbourne,20.197777777777777,19.4,284.3581693121693,16.86292291722195,4.353987975118667
hoppers crossing,20.088235294117645,19.6,255.88943627450985,15.99654451044068,3.8797319212612513
craigieburn,19.342222222222226,15.0,249.87912169312176,15.807565330977498,4.081495818064106
broadmeadows,18.68074074074074,14.1,300.7025479129924,17.340777027370844,4.477369375820229
berwick,17.95714285714286,15.966666666666665,173.73699633699636,13.180933060181907,3.522752539228749
footscray,17.612755102040815,10.85,252.73535461986992,15.897652487706162,4.248826347356492
springvale,17.418131868131866,16.9,148.64677394034535,12.19207832735442,3.38147412028843
narre warren,17.209803921568632,15.0,264.19746732026147,16.25415231011022,3.942210989968338
