suburb,place_id,place_type_count
abbotsford,0,15.0
abbotsford,1,1.0
abbotsford,2,20.0
aberfeldie,0,1.0
aberfeldie,1,0.0
aberfeldie,2,16.0
airport west,0,4.0
airport west,1,0.0
airport west,2,4.0
albanvale,0,2.0
albanvale,1,0.0
albanvale,2,9.0
albert park,0,14.0
albert park,1,1.0
albert park,2,20.0
albion,0,2.0
albion,1,0.0
albion,2,9.0
alphington,0,3.0
alphington,1,0.0
alphington,2,15.0
altona,0,5.0
altona,1,0.0
altona,2,8.0
altona meadows,0,1.0
altona meadows,1,0.0
altona meadows,2,13.0
altona north,0,4.0
altona north,1,0.0
altona north,2,11.0
ardeer,0,1.0
ardeer,1,0.0
ardeer,2,9.0
armadale,0,9.0
armadale,1,0.0
armadale,2,8.0
ascot vale,0,14.0
ascot vale,1,0.0
ascot vale,2,5.0
ashburton,0,1.0
ashburton,1,1.0
ashburton,2,15.0
ashwood,0,2.0
ashwood,1,0.0
ashwood,2,15.0
aspendale,0,1.0
aspendale,1,0.0
aspendale,2,7.0
aspendale gardens,0,1.0
aspendale gardens,1,0.0
aspendale gardens,2,13.0
attwood,0,0.0
attwood,1,0.0
attwood,2,6.0
avondale heights,0,5.0
avondale heights,1,0.0
avondale heights,2,12.0
balaclava,0,17.0
balaclava,1,1.0
balaclava,2,20.0
balwyn,0,3.0
balwyn,1,0.0
balwyn,2,13.0
balwyn north,0,2.0
balwyn north,1,0.0
balwyn north,2,9.0
bangholme,0,0.0
bangholme,1,0.0
bangholme,2,2.0
bayswater,0,5.0
bayswater,1,0.0
bayswater,2,12.0
bayswater north,0,1.0
bayswater north,1,0.0
bayswater north,2,5.0
beaumaris,0,1.0
beaumaris,1,0.0
beaumaris,2,15.0
belgrave,0,3.0
belgrave,1,1.0
belgrave,2,13.0
belgrave heights,0,2.0
belgrave heights,1,0.0
belgrave heights,2,11.0
bellfield,0,3.0
bellfield,1,0.0
bellfield,2,9.0
bentleigh,0,5.0
bentleigh,1,0.0
bentleigh,2,14.0
bentleigh east,0,2.0
bentleigh east,1,0.0
bentleigh east,2,7.0
berwick,0,4.0
berwick,1,0.0
berwick,2,20.0
black rock,0,3.0
black rock,1,0.0
black rock,2,5.0
blackburn,0,5.0
blackburn,1,0.0
blackburn,2,20.0
blackburn north,0,2.0
blackburn north,1,0.0
blackburn north,2,13.0
blackburn south,0,2.0
blackburn south,1,0.0
blackburn south,2,19.0
bonbeach,0,0.0
bonbeach,1,0.0
bonbeach,2,6.0
boronia,0,5.0
boronia,1,1.0
boronia,2,16.0
box hill,0,4.0
box hill,1,1.0
box hill,2,20.0
box hill north,0,3.0
box hill north,1,0.0
box hill north,2,20.0
box hill south,0,2.0
box hill south,1,0.0
box hill south,2,11.0
briar hill,0,4.0
briar hill,1,0.0
briar hill,2,13.0
brighton,0,4.0
brighton,1,0.0
brighton,2,6.0
brighton east,0,7.0
brighton east,1,0.0
brighton east,2,12.0
broadmeadows,0,3.0
broadmeadows,1,1.0
broadmeadows,2,11.0
brooklyn,0,1.0
brooklyn,1,0.0
brooklyn,2,4.0
brunswick,0,4.0
brunswick,1,0.0
brunswick,2,14.0
brunswick east,0,8.0
brunswick east,1,0.0
brunswick east,2,20.0
brunswick west,0,14.0
brunswick west,1,2.0
brunswick west,2,12.0
bulleen,0,2.0
bulleen,1,1.0
bulleen,2,9.0
bundoora,0,1.0
bundoora,1,0.0
bundoora,2,18.0
burnley,0,11.0
burnley,1,0.0
burnley,2,20.0
burnside,0,2.0
burnside,1,0.0
burnside,2,10.0
burnside heights,0,1.0
burnside heights,1,0.0
burnside heights,2,8.0
burwood,0,2.0
burwood,1,0.0
burwood,2,16.0
burwood east,0,1.0
burwood east,1,0.0
burwood east,2,15.0
cairnlea,0,2.0
cairnlea,1,0.0
cairnlea,2,4.0
camberwell,0,9.0
camberwell,1,1.0
camberwell,2,17.0
campbellfield,0,0.0
campbellfield,1,0.0
campbellfield,2,3.0
canterbury,0,1.0
canterbury,1,0.0
canterbury,2,16.0
carlton,0,12.0
carlton,1,0.0
carlton,2,20.0
carlton north,0,12.0
carlton north,1,0.0
carlton north,2,20.0
carnegie,0,8.0
carnegie,1,0.0
carnegie,2,9.0
caroline springs,0,2.0
caroline springs,1,0.0
caroline springs,2,20.0
carrum,0,2.0
carrum,1,0.0
carrum,2,6.0
carrum downs,0,2.0
carrum downs,1,0.0
carrum downs,2,17.0
caulfield,0,5.0
caulfield,1,2.0
caulfield,2,7.0
caulfield east,0,3.0
caulfield east,1,0.0
caulfield east,2,8.0
caulfield north,0,1.0
caulfield north,1,0.0
caulfield north,2,5.0
caulfield south,0,6.0
caulfield south,1,2.0
caulfield south,2,7.0
chadstone,0,5.0
chadstone,1,0.0
chadstone,2,15.0
chelsea,0,2.0
chelsea,1,1.0
chelsea,2,9.0
chelsea heights,0,0.0
chelsea heights,1,0.0
chelsea heights,2,20.0
cheltenham,0,9.0
cheltenham,1,1.0
cheltenham,2,14.0
clarinda,0,1.0
clarinda,1,0.0
clarinda,2,20.0
clayton,0,5.0
clayton,1,1.0
clayton,2,9.0
clayton south,0,0.0
clayton south,1,0.0
clayton south,2,8.0
clematis,0,2.0
clematis,1,0.0
clematis,2,5.0
clifton hill,0,12.0
clifton hill,1,0.0
clifton hill,2,20.0
coburg,0,7.0
