,place_id,crime_id,average_incident
0,0,A20,56.0
1,0,A50,9.4
2,0,A70,7.0
3,0,A80,3.333333333333333
4,0,B10,3.25
5,0,B20,77.6
6,0,B30,112.3
7,0,B40,449.3
8,0,B50,80.8
9,0,B60,1.0
10,0,C10,13.2
11,0,C20,2.1666666666666665
12,0,C30,38.5
13,0,D10,27.5
14,0,D20,26.7
15,0,D30,3.375
16,0,E10,6.3
17,0,E20,43.1
18,0,F20,1.3333333333333333
19,0,F30,1.25
20,0,F90,41.333333333333336
21,0,Other,10.4
22,1,A20,56.0
23,1,A50,9.4
24,1,A70,7.0
25,1,A80,3.333333333333333
26,1,B10,3.25
27,1,B20,77.6
28,1,B30,112.3
29,1,B40,449.3
30,1,B50,80.8
31,1,B60,1.0
32,1,C10,13.2
33,1,C20,2.1666666666666665
34,1,C30,38.5
35,1,D10,27.5
36,1,D20,26.7
37,1,D30,3.375
38,1,E10,6.3
39,1,E20,43.1
40,1,F20,1.3333333333333333
41,1,F30,1.25
42,1,F90,41.333333333333336
43,1,Other,10.4
44,2,A20,56.0
45,2,A50,9.4
46,2,A70,7.0
47,2,A80,3.333333333333333
48,2,B10,3.25
49,2,B20,77.6
50,2,B30,112.3
51,2,B40,449.3
52,2,B50,80.8
53,2,B60,1.0
54,2,C10,13.2
55,2,C20,2.1666666666666665
56,2,C30,38.5
57,2,D10,27.5
58,2,D20,26.7
59,2,D30,3.375
60,2,E10,6.3
61,2,E20,43.1
62,2,F20,1.3333333333333333
63,2,F30,1.25
64,2,F90,41.333333333333336
65,2,Other,10.4
66,0,A20,8.6
67,0,A50,1.4285714285714286
68,0,A70,2.1111111111111107
69,0,A80,1.25
70,0,B10,1.0
71,0,B20,13.8
72,0,B30,20.1
73,0,B40,51.4
74,0,B50,2.0
75,0,C10,1.0
76,0,C20,1.0
77,0,C30,2.888888888888889
78,0,D10,1.6666666666666667
79,0,D20,2.1666666666666665
80,0,E10,1.6
81,0,E20,8.777777777777779
82,0,F90,4.0
83,0,Other,2.0
84,1,A20,8.6
85,1,A50,1.4285714285714286
86,1,A70,2.1111111111111107
87,1,A80,1.25
88,1,B10,1.0
89,1,B20,13.8
90,1,B30,20.1
91,1,B40,51.4
92,1,B50,2.0
93,1,C10,1.0
94,1,C20,1.0
95,1,C30,2.888888888888889
96,1,D10,1.6666666666666667
97,1,D20,2.1666666666666665
98,1,E10,1.6
99,1,E20,8.777777777777779
100,1,F90,4.0
101,1,Other,2.0
102,2,A20,8.6
103,2,A50,1.4285714285714286
104,2,A70,2.1111111111111107
105,2,A80,1.25
106,2,B10,1.0
107,2,B20,13.8
108,2,B30,20.1
109,2,B40,51.4
110,2,B50,2.0
111,2,C10,1.0
112,2,C20,1.0
113,2,C30,2.888888888888889
114,2,D10,1.6666666666666667
115,2,D20,2.1666666666666665
116,2,E10,1.6
117,2,E20,8.777777777777779
118,2,F90,4.0
119,2,Other,2.0
120,0,A20,37.9
121,0,A50,3.7
122,0,A70,7.9
123,0,A80,4.4
124,0,B10,3.4444444444444446
125,0,B20,46.6
126,0,B30,72.5
127,0,B40,354.3
128,0,B50,62.1
129,0,C10,5.9
130,0,C20,3.4
131,0,C30,18.4
132,0,D10,15.1
133,0,D20,9.3
134,0,D30,2.6666666666666665
135,0,E10,8.7
136,0,E20,36.3
137,0,F90,10.2
138,0,Other,8.0
139,1,A20,37.9
140,1,A50,3.7
141,1,A70,7.9
142,1,A80,4.4
143,1,B10,3.4444444444444446
144,1,B20,46.6
145,1,B30,72.5
146,1,B40,354.3
147,1,B50,62.1
148,1,C10,5.9
149,1,C20,3.4
150,1,C30,18.4
151,1,D10,15.1
152,1,D20,9.3
153,1,D30,2.6666666666666665
154,1,E10,8.7
155,1,E20,36.3
156,1,F90,10.2
157,1,Other,8.0
158,2,A20,37.9
159,2,A50,3.7
160,2,A70,7.9
161,2,A80,4.4
162,2,B10,3.4444444444444446
163,2,B20,46.6
164,2,B30,72.5
165,2,B40,354.3
166,2,B50,62.1
167,2,C10,5.9
168,2,C20,3.4
169,2,C30,18.4
170,2,D10,15.1
171,2,D20,9.3
172,2,D30,2.6666666666666665
173,2,E10,8.7
174,2,E20,36.3
175,2,F90,10.2
176,2,Other,8.0
177,0,A20,35.8
178,0,A50,3.0
