suburb,postcode,state,dc,type,lat,lon
abbotsford,3067,VIC,FITZROY DC,Delivery Area,-37.801781,144.998752
aberfeldie,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.75669,144.89625900000001
airport west,3042,VIC,NIDDRIE DC,Delivery Area,-37.711698,144.88703700000002
albanvale,3021,VIC,ST ALBANS DC,Delivery Area,-37.745934000000005,144.770027
albert park,3206,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.840705,144.95571
albion,3020,VIC,SUNSHINE DC,Delivery Area,-37.775954,144.819395
alphington,3078,VIC,PRESTON DC,Delivery Area,-37.780767,145.03116
altona,3018,VIC,NEWPORT DC,Delivery Area,-37.869275,144.830286
altona meadows,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.871632,144.778084
altona north,3025,VIC,NEWPORT DC,Delivery Area,-37.842878999999996,144.850049
ardeer,3022,VIC,SUNSHINE DC,Delivery Area,-37.782920000000004,144.801018
armadale,3143,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.85934,145.018505
ascot vale,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.77583,144.923377
ashburton,3147,VIC,BURWOOD DC,Delivery Area,-37.863393,145.07942
ashwood,3147,VIC,BURWOOD DC,Delivery Area,-37.864686,145.093061
aspendale,3195,VIC,BRAESIDE DC,Delivery Area,-38.026478999999995,145.101908
aspendale gardens,3195,VIC,BRAESIDE DC,Delivery Area,-38.023456,145.118374
attwood,3049,VIC,SOMERTON DC,Delivery Area,-37.667515,144.88529
avondale heights,3034,VIC,NIDDRIE DC,Delivery Area,-37.742284000000005,144.81515
balaclava,3183,VIC,ST KILDA DC,Delivery Area,-37.869023,144.995478
balwyn,3103,VIC,DEEPDENE DC,Delivery Area,-37.809701000000004,145.082303
balwyn north,3104,VIC,DEEPDENE DC,Delivery Area,-37.792835,145.071727
bangholme,3175,VIC,DANDENONG DC,Delivery Area,-38.033107,145.179482
bayswater,3153,VIC,BAYSWATER DC,Delivery Area,-37.84126,145.266725
bayswater north,3153,VIC,BAYSWATER DC,Delivery Area,-37.8303,145.275095
beaumaris,3193,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.986284999999995,145.032876
belgrave,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.908421999999995,145.355075
belgrave heights,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.926012,145.352597
bellfield,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.751819,145.045449
bellfield,3381,VIC,STAWELL,Delivery Area,-37.228577,142.480053
bentleigh,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.918057,145.03544399999998
bentleigh east,3165,VIC,BENTLEIGH EAST DC,Delivery Area,-37.927402,145.059412
berwick,3806,VIC,NARRE WARREN DC,Delivery Area,-38.030467,145.344621
black rock,3193,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.973503,145.01658
blackburn,3130,VIC,NUNAWADING DC,Delivery Area,-37.819373999999996,145.153852
blackburn north,3130,VIC,NUNAWADING DC,Delivery Area,-37.810403,145.1521
blackburn south,3130,VIC,NUNAWADING DC,Delivery Area,-37.831666,145.146719
bonbeach,3196,VIC,BRAESIDE DC,Delivery Area,-38.062472,145.119404
boronia,3155,VIC,BAYSWATER DC,Delivery Area,-37.861504,145.27576200000001
box hill,3128,VIC,BOX HILL DC,Delivery Area,-37.817454999999995,145.119314
box hill north,3129,VIC,BOX HILL DC,Delivery Area,-37.801761,145.126869
box hill south,3128,VIC,BOX HILL DC,Delivery Area,-37.828744,145.12184299999998
briar hill,3088,VIC,BUNDOORA DC,Delivery Area,-37.709483,145.120135
brighton,3186,VIC,BRIGHTON DC,Delivery Area,-37.913149,144.991682
brighton east,3187,VIC,BRIGHTON DC,Delivery Area,-37.904879,145.002603
broadmeadows,3047,VIC,SOMERTON DC,Delivery Area,-37.680792,144.921009
brooklyn,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.814624,144.84710800000002
brunswick,3056,VIC,PRESTON DC,Delivery Area,-37.764829,144.943778
brunswick east,3057,VIC,PRESTON DC,Delivery Area,-37.76491,144.979567
brunswick west,3055,VIC,PRESTON DC,Delivery Area,-37.762489,144.961176
bulleen,3105,VIC,TEMPLESTOWE DC,Delivery Area,-37.768553999999995,145.079543
bundoora,3083,VIC,BUNDOORA DC,Delivery Area,-37.70132,145.071967
burnley,3121,VIC,RICHMOND DC,Delivery Area,-37.826869,145.00709799999998
burnside,3023,VIC,SUNSHINE DC,Delivery Area,-37.753381,144.75261799999998
burnside heights,3023,VIC,SUNSHINE DC,Delivery Area,-37.771039,144.772248
burwood,3125,VIC,BURWOOD DC,Delivery Area,-37.852805,145.15190900000002
burwood east,3151,VIC,BURWOOD DC,Delivery Area,-37.858352000000004,145.138553
cairnlea,3023,VIC,SUNSHINE DC,Delivery Area,-37.762076,144.754169
camberwell,3124,VIC,DEEPDENE DC,Delivery Area,-37.824818,145.05795700000002
campbellfield,3061,VIC,SOMERTON DC,Delivery Area,-37.643746,144.951369
canterbury,3126,VIC,DEEPDENE DC,Delivery Area,-37.824249,145.073114
carlton,3053,VIC,CARLTON DC,Delivery Area,-37.784337,144.96974699999998
carlton north,3054,VIC,CARLTON DC,Delivery Area,-37.784337,144.96974699999998
carnegie,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889336,145.058121
caroline springs,3023,VIC,SUNSHINE DC,Delivery Area,-37.741240000000005,144.736311
carrum,3197,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.076364,145.123205
carrum downs,3201,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.090783,145.191719
caulfield,3162,VIC,BENTLEIGH EAST DC,Delivery Area,-37.880479,145.026806
caulfield east,3145,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875412,145.041976
caulfield north,3161,VIC,BENTLEIGH EAST DC,Delivery Area,-37.901678000000004,145.02357
caulfield south,3162,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886903000000004,145.02197900000002
chadstone,3148,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.886371999999994,145.082527
chelsea,3196,VIC,BRAESIDE DC,Delivery Area,-38.052346,145.115941
chelsea heights,3196,VIC,BRAESIDE DC,Delivery Area,-38.045473,145.135901
cheltenham,3192,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.96451,145.055873
clarinda,3169,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.941228,145.10244
clayton,3168,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.925488,145.119662
clayton south,3169,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.939215000000004,145.126625
clematis,3782,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.929232,145.423339
clifton hill,3068,VIC,FITZROY DC,Delivery Area,-37.788118,144.992067
coburg,3058,VIC,PRESTON DC,Delivery Area,-37.743188,144.96627900000001
coburg north,3058,VIC,PRESTON DC,Delivery Area,-37.730841999999996,144.971699
collingwood,3066,VIC,FITZROY DC,Delivery Area,-37.800366,144.984149
coolaroo,3048,VIC,SOMERTON DC,Delivery Area,-37.651811,144.930466
craigieburn,3064,VIC,SOMERTON DC,Delivery Area,-37.598975,144.94128700000002
cranbourne,3977,VIC,CRANBOURNE DC,Delivery Area,-38.11122,145.268832
cranbourne north,3977,VIC,CRANBOURNE DC,Delivery Area,-38.082218,145.276538
cremorne,3121,VIC,RICHMOND DC,Delivery Area,-37.829719,144.990346
croydon,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.798728999999994,145.280685
croydon hills,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.774437,145.27557
croydon north,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.770695,145.294691
croydon south,3136,VIC,MOOROOLBARK DC,Delivery Area,-37.811966999999996,145.269481
dallas,3047,VIC,SOMERTON DC,Delivery Area,-37.673333,144.931141
dandenong,3175,VIC,DANDENONG DC,Delivery Area,-37.987271,145.214317
dandenong north,3175,VIC,DANDENONG DC,Delivery Area,-37.965724,145.205645
dandenong south,3175,VIC,DANDENONG DC,Delivery Area,-38.034031,145.20171100000002
deer park,3023,VIC,SUNSHINE DC,Delivery Area,-37.770312,144.77472
delahey,3037,VIC,ST ALBANS DC,Delivery Area,-37.715579,144.780474
derrimut,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.797549,144.771097
diamond creek,3089,VIC,DIAMOND CREEK DC,Delivery Area,-37.642629,145.217595
dingley village,3172,VIC,BRAESIDE DC,Delivery Area,-37.973323,145.11994099999998
docklands,3008,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814719000000004,144.948039
doncaster,3108,VIC,TEMPLESTOWE DC,Delivery Area,-37.783031,145.122517
doncaster east,3109,VIC,TEMPLESTOWE DC,Delivery Area,-37.811994,145.19474
donvale,3111,VIC,TEMPLESTOWE DC,Delivery Area,-38.183899,144.468019
doveton,3177,VIC,DANDENONG DC,Delivery Area,-37.995245000000004,145.240156
eaglemont,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.762519,145.068208
east melbourne,3002,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.81664,144.98781100000002
edithvale,3196,VIC,BRAESIDE DC,Delivery Area,-38.037415,145.107846
elsternwick,3185,VIC,ST KILDA DC,Delivery Area,-37.884724,145.004153
eltham,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.71383,145.148537
eltham north,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.69401,145.147506
elwood,3184,VIC,ST KILDA DC,Delivery Area,-37.888121000000005,144.985026
emerald,3782,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.932085,145.44073999999998
endeavour hills,3802,VIC,DANDENONG DC,Delivery Area,-37.975281,145.254481
epping,3076,VIC,EPPING DC,Delivery Area,-37.638363,145.009493
essendon,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.754973,144.917407
essendon north,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.744374,144.909853
essendon west,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.753802,144.888271
eumemmerring,3177,VIC,DANDENONG DC,Delivery Area,-37.997710999999995,145.250273
fairfield,3078,VIC,PRESTON DC,Delivery Area,-37.776946,145.018479
