,postcode,suburb
0,3081,bellfield
1,3088,briar hill
2,3083,bundoora
3,3084,eaglemont
4,3095,eltham
5,3095,eltham north
6,3088,greensborough
7,3084,heidelberg
8,3081,heidelberg heights
9,3081,heidelberg west
10,3079,ivanhoe
11,3079,ivanhoe east
12,3093,lower plenty
13,3085,macleod
14,3094,montmorency
15,3084,rosanna
16,3088,st helena
17,3084,viewbank
18,3087,watsonia
19,3087,watsonia north
20,3085,yallambie
21,3193,beaumaris
22,3193,black rock
23,3186,brighton
24,3187,brighton east
25,3188,brighton east
26,3192,cheltenham
27,3188,hampton
28,3188,hampton east
29,3190,highett
30,3191,sandringham
31,3147,ashburton
32,3103,balwyn
33,3104,balwyn north
34,3124,camberwell
35,3126,canterbury
36,3103,deepdene
37,3124,glen iris
38,3146,glen iris
39,3122,hawthorn
40,3123,hawthorn east
41,3101,kew
42,3102,kew east
43,3127,mont albert
44,3127,surrey hills
45,3021,albanvale
46,3020,albion
47,3022,ardeer
48,3012,brooklyn
49,3023,cairnlea
50,3023,deer park
51,3037,delahey
52,3020,derrimut
53,3030,derrimut
54,3037,hillside
55,3021,kealba
56,3036,keilor
57,3038,keilor downs
58,3033,keilor east
59,3038,keilor lodge
60,3042,keilor park
61,3021,kings park
62,3021,st albans
63,3020,sunshine
64,3020,sunshine north
65,3037,sydenham
66,3038,taylors lakes
67,3043,tullamarine
68,3782,clematis
69,3782,emerald
70,3806,berwick
71,3977,cranbourne
72,3977,cranbourne north
73,3177,doveton
74,3802,endeavour hills
75,3177,eumemmerring
76,3803,hallam
77,3976,hampton park
78,3977,junction village
79,3975,lynbrook
80,3975,lyndhurst
81,3156,lysterfield south
82,3805,narre warren
83,3804,narre warren north
84,3805,narre warren south
85,3078,alphington
86,3083,bundoora
87,3086,bundoora
88,3078,fairfield
89,3083,kingsbury
90,3085,macleod
91,3070,northcote
92,3072,preston
93,3073,reservoir
94,3071,thornbury
95,3875,hillside
96,3201,carrum downs
97,3199,frankston
98,3200,frankston north
99,3199,frankston south
100,3910,langwarrin
101,3911,langwarrin south
102,3977,sandhurst
103,3198,seaford
104,3977,skye
105,3204,bentleigh
106,3165,bentleigh east
107,3187,brighton east
108,3163,carnegie
109,3162,caulfield
110,3145,caulfield east
111,3161,caulfield north
112,3162,caulfield south
113,3185,elsternwick
114,3185,gardenvale
115,3163,glen huntly
116,3204,mckinnon
117,3163,murrumbeena
118,3204,ormond
119,3183,st kilda east
